autor_id,ime,prezime,godina_rodjenja,drzava
1,Robert,Allen,1954,Sjedinjene Američke Države
2,Tacunari,Iota,1973,Japan
3,Penelopa,Duglas,1956,Sjedinjene Američke Države
4,Gennadij,Murzin,1993,Rusija
5,Ekaterina,Lebedeva,1971,Rusija
6,Elena,Prudnikova,1949,Rusija
7,Sergej,Kremlev,1984,Poljska
8,Igor,Vlasov,1980,Rusija
9,Kornelija,Funke,1958,Nemačka
10,Kler,Makintoš,1970,Rusija
11,Džejms,Dešner,1972,Sjedinjene Američke Države
12,Vladimir,Nabokov,1899,Sjedinjene Američke Države
13,Robert Ljuis,Stivenson,1850,Ujedinjeno Kraljevstvo
14,Darja,Sojfer,1986,Nemačka
15,Ljubov,Marčenko,1955,Rusija
16,Anastasija,Krasičkova,1983,Sjedinjene Američke Države
17,Nikolja,Riženkov,1948,Rusija
18,Lion,Fejhtvanger,1884,Sjedinjene Američke Države
19,Roman,Antropov,1876,Ruska Imperija
20,Ravil,Bikbaev,1962,Sjedinjene Američke Države
21,Svetlana,Kudrina,1954,Ujedinjeno Kraljevstvo
22,Aleksandr,Puškin,1822,Rusija
23,Artelina,Grudina,1984,Sjedinjene Američke Države
24,Sergej,Esenin,1895,Ruska Sovjetska Federativna Socijalistička Republika
25,Maks,Fraj,1970,Ujedinjeno Kraljevstvo
26,Genri,Oldi,1943,Sjedinjene Američke Države
27,Anastasija,Korol,1990,Sjedinjene Američke Države
28,Pavel,Šalagin,1951,Rusija
29,Tamara,Šmidt,1973,Rusija
30,Uiljam,Nikolson,1984,Italija
31,Sendi,Mann,1971,Srbija
32,Dante,Aligeri,1265,Firentinska republika
33,Igor,Borščenko,1963,Rusija
34,Valerij,Almuhametov,1985,Rusija
35,Aleksej,Isaev,1970,Ujedinjeno Kraljevstvo
36,Artem,Drabkin,1951,Rusija
37,Fedor,Afanasev,1958,Rusija
38,Tatjana,Levanova,1968,Ujedinjeno Kraljevstvo
39,Čingiz,Abdullaev,1959,Azerbejdžan
40,Tatjana,Moskvina,1798,Ruska Imperija
41,Nargiz,Nur,1942,Rusija
42,Arvo,Iho,1949,Estonija
43,Julija,Firsanova,1958,Italija
44,Sergej,Samarov,1948,Italija
45,Igor,Kostjučenko,1970,Sjedinjene Američke Države
46,Olga,Minčenko,1936,Rusija
47,Irina,Alešina,1971,Nemačka
48,Mark,Tven,1835,Sjedinjene Američke Države
49,Svjatitel Ioann,Zlatoust,1849,Rusija
50,Vladimir,Makarčenko,1958,Rusija
51,Džidži,Padovani,1959,Srbija
52,Dora,Koust,1990,Rusija
53,Mihail,Saltikov-Ščedrin,1826,Ruska Imperija
