izdavac_id,naziv,drzava
1,Javor izdavaštvo 01,Srbija
2,Most izdavaštvo 02,Hrvatska
3,Svetionik izdavaštvo 03,Ujedinjeno Kraljevstvo
4,Orion izdavaštvo 04,SAD
5,Knjiga izdavaštvo 05,Nemačka
6,Atlas izdavaštvo 06,Francuska
7,Dunav izdavaštvo 07,Italija
8,Horizont izdavaštvo 08,Srbija
9,Poglavlje izdavaštvo 09,Hrvatska
10,Sever izdavaštvo 10,Ujedinjeno Kraljevstvo
11,Krilatica izdavaštvo 11,SAD
12,Arhipelag izdavaštvo 12,Nemačka
13,Slovo izdavaštvo 13,Francuska
14,Mreza izdavaštvo 14,Italija
15,Plava izdavaštvo 15,Srbija
16,Beli izdavaštvo 16,Hrvatska
17,Zlatni izdavaštvo 17,Ujedinjeno Kraljevstvo
18,Fokus izdavaštvo 18,SAD
19,Kultura izdavaštvo 19,Nemačka
20,Panorama izdavaštvo 20,Francuska
21,Javor izdavaštvo 21,Italija
22,Most izdavaštvo 22,Srbija
23,Svetionik izdavaštvo 23,Hrvatska
