pozajmica_id,datum_pozajmice,rok_vracanja,datum_vracanja,clan_id,primerak_id,status_pozajmice_id
531037,2018-10-10,2018-10-31,,112536,156401,3
531038,2018-10-10,2018-10-31,,112539,843101,3
531039,2018-10-10,2018-10-31,,112586,570823,3
531040,2018-10-10,2018-10-31,,112635,876777,3
531041,2018-10-10,2018-10-31,,112688,423459,3
531042,2018-10-10,2018-10-31,,112746,828983,3
531043,2018-10-10,2018-10-31,,112803,675053,3
531044,2018-10-10,2018-10-31,2018-10-31,112824,814676,1
531045,2018-10-10,2018-10-31,2018-11-11,112824,949410,1
531046,2018-10-10,2018-10-31,,113104,446249,3
531047,2018-10-10,2018-10-31,,113137,223276,3
531048,2018-10-10,2018-10-31,2018-11-08,113171,174301,1
531049,2018-10-10,2018-10-31,,113258,565897,3
531050,2018-10-10,2018-10-31,,113309,596425,3
531051,2018-10-10,2018-10-31,2018-11-05,113427,44941,1
531052,2018-10-10,2018-10-31,2018-10-23,113427,915399,1
531053,2018-10-10,2018-10-31,,113586,923814,3
531054,2018-10-10,2018-10-31,,113629,796547,3
531055,2018-10-10,2018-10-31,2018-10-31,113706,535552,1
531056,2018-10-10,2018-10-31,,113734,147898,3
531057,2018-10-10,2018-10-31,2018-11-01,113976,471857,1
531058,2018-10-10,2018-10-31,,114060,22400,3
531059,2018-10-10,2018-10-31,,114068,122806,3
531060,2018-10-10,2018-10-31,,114068,143889,3
531061,2018-10-10,2018-10-31,2018-11-06,114068,548230,1
531062,2018-10-10,2018-10-31,2018-11-04,114145,164957,1
531063,2018-10-10,2018-10-31,2018-10-31,114398,672035,1
531064,2018-10-10,2018-10-31,,114443,37608,3
531065,2018-10-10,2018-10-31,2018-10-28,114554,496147,1
531066,2018-10-10,2018-10-31,,114618,687529,3
531067,2018-10-10,2018-10-31,,114627,363598,3
531068,2018-10-10,2018-10-31,2018-11-05,114644,596101,1
531069,2018-10-10,2018-10-31,,114680,19297,3
531070,2018-10-10,2018-10-31,,114829,474201,3
531071,2018-10-10,2018-10-31,,114878,327092,3
531072,2018-10-10,2018-10-31,2018-10-29,114924,907582,1
