primerak_id,inventarski_broj,datum_nabavke,fizicko_stanje,publikacija_id,odeljenje_id
430237,INV-00430237,2018-08-28,odlično,143064,13
430238,INV-00430238,2017-12-10,dobro,143065,2
430239,INV-00430239,2018-07-04,zadovoljavajuće,143065,2
430240,INV-00430240,2017-09-28,dobro,143065,2
430241,INV-00430241,2017-07-29,zadovoljavajuće,143065,2
430242,INV-00430242,2017-07-23,dobro,143065,2
430243,INV-00430243,2017-08-08,odlično,143065,2
430244,INV-00430244,2018-08-23,odlično,143065,2
430245,INV-00430245,2018-03-02,odlično,143065,2
430246,INV-00430246,2017-09-11,dobro,143065,5
430247,INV-00430247,2018-12-25,dobro,143065,5
430248,INV-00430248,2018-12-01,zadovoljavajuće,143065,5
430249,INV-00430249,2016-12-12,odlično,143065,8
430250,INV-00430250,2016-10-30,zadovoljavajuće,143065,11
430251,INV-00430251,2017-06-14,zadovoljavajuće,143065,14
430252,INV-00430252,2017-11-25,odlično,143065,14
430253,INV-00430253,2017-11-16,dobro,143066,3
430254,INV-00430254,2016-11-01,odlično,143066,6
430255,INV-00430255,2019-02-07,odlično,143066,9
430256,INV-00430256,2018-04-28,dobro,143066,12
430257,INV-00430257,2017-07-01,odlično,143066,12
430258,INV-00430258,2016-01-17,dobro,143066,15
430259,INV-00430259,2017-03-17,odlično,143067,1
430260,INV-00430260,2017-08-10,zadovoljavajuće,143067,1
430261,INV-00430261,2017-02-26,dobro,143067,4
430262,INV-00430262,2017-08-26,dobro,143067,4
430263,INV-00430263,2017-06-20,dobro,143067,4
430264,INV-00430264,2017-07-11,odlično,143067,13
430265,INV-00430265,2017-03-03,odlično,143078,2
430266,INV-00430266,2017-11-04,zadovoljavajuće,143078,5
430267,INV-00430267,2017-11-20,odlično,143078,5
430268,INV-00430268,2018-07-21,odlično,143078,8
430269,INV-00430269,2019-01-06,odlično,143078,8
430270,INV-00430270,2018-10-12,odlično,143078,8
430271,INV-00430271,2017-01-20,odlično,143078,11
430272,INV-00430272,2017-03-14,odlično,143084,3
430273,INV-00430273,2017-12-11,dobro,143084,3
430274,INV-00430274,2018-03-25,dobro,143084,3
430275,INV-00430275,2019-06-03,odlično,143084,3
430276,INV-00430276,2018-08-14,odlično,143084,3
430277,INV-00430277,2016-05-30,odlično,143084,6
430278,INV-00430278,2017-12-31,odlično,143084,9
430279,INV-00430279,2019-02-22,odlično,143084,9
430280,INV-00430280,2018-07-14,dobro,143084,9
430281,INV-00430281,2016-03-31,oštećeno,143084,15
430282,INV-00430282,2017-05-25,odlično,143089,1
430283,INV-00430283,2017-09-14,dobro,143089,1
430284,INV-00430284,2019-04-04,zadovoljavajuće,143089,1
430285,INV-00430285,2017-03-12,odlično,143089,4
430286,INV-00430286,2017-04-28,dobro,143089,7
430287,INV-00430287,2017-12-19,dobro,143089,7
430288,INV-00430288,2018-12-25,zadovoljavajuće,143089,7
430289,INV-00430289,2018-02-14,odlično,143089,7
430290,INV-00430290,2019-05-21,dobro,143089,7
430291,INV-00430291,2019-05-30,odlično,143089,10
430292,INV-00430292,2017-08-07,odlično,143089,13
430293,INV-00430293,2017-08-26,dobro,143103,3
430294,INV-00430294,2016-12-09,dobro,143103,3
430295,INV-00430295,2018-02-11,dobro,143103,3
430296,INV-00430296,2018-05-03,dobro,143103,3
430297,INV-00430297,2017-04-07,odlično,143103,3
430298,INV-00430298,2017-12-17,odlično,143103,3
430299,INV-00430299,2018-04-26,odlično,143103,3
430300,INV-00430300,2017-01-05,odlično,143103,3
430301,INV-00430301,2018-03-08,odlično,143103,3
430302,INV-00430302,2018-05-18,odlično,143103,3
430303,INV-00430303,2018-08-25,odlično,143103,3
430304,INV-00430304,2018-02-17,dobro,143103,3
430305,INV-00430305,2018-10-29,zadovoljavajuće,143103,3
430306,INV-00430306,2018-05-31,odlično,143103,3
430307,INV-00430307,2018-06-16,odlično,143103,3
430308,INV-00430308,2018-01-13,odlično,143103,3
430309,INV-00430309,2017-03-27,odlično,143103,6
430310,INV-00430310,2017-07-15,dobro,143103,6
430311,INV-00430311,2017-03-15,oštećeno,143103,6
430312,INV-00430312,2018-02-26,odlično,143103,6
430313,INV-00430313,2017-04-18,odlično,143103,6
430314,INV-00430314,2018-03-13,odlično,143103,6
430315,INV-00430315,2017-10-06,dobro,143103,6
430316,INV-00430316,2018-05-03,odlično,143103,6
430317,INV-00430317,2018-05-10,dobro,143103,6
430318,INV-00430318,2017-11-05,oštećeno,143103,6
430319,INV-00430319,2018-03-17,dobro,143103,6
430320,INV-00430320,2019-04-11,dobro,143103,6
430321,INV-00430321,2019-06-05,odlično,143103,6
430322,INV-00430322,2016-12-02,dobro,143103,9
430323,INV-00430323,2018-02-28,odlično,143103,9
430324,INV-00430324,2018-06-30,zadovoljavajuće,143103,9
430325,INV-00430325,2017-04-07,odlično,143103,9
430326,INV-00430326,2018-09-13,odlično,143103,9
430327,INV-00430327,2017-02-27,dobro,143103,9
430328,INV-00430328,2018-08-10,dobro,143103,9
430329,INV-00430329,2016-10-31,odlično,143103,12
430330,INV-00430330,2018-05-03,dobro,143103,12
430331,INV-00430331,2019-01-11,odlično,143103,12
430332,INV-00430332,2018-08-08,odlično,143103,15
430333,INV-00430333,2018-04-14,oštećeno,143103,15
430334,INV-00430334,2017-01-19,odlično,143103,15
430335,INV-00430335,2016-09-08,odlično,143104,2
430336,INV-00430336,2019-03-14,odlično,143104,2
430337,INV-00430337,2016-09-23,dobro,143104,5
430338,INV-00430338,2017-08-14,odlično,143104,5
430339,INV-00430339,2018-09-18,zadovoljavajuće,143104,5
430340,INV-00430340,2016-11-21,dobro,143104,8
430341,INV-00430341,2018-09-30,dobro,143104,8
430342,INV-00430342,2018-08-31,zadovoljavajuće,143104,8
430343,INV-00430343,2016-10-09,dobro,143104,11
430344,INV-00430344,2016-10-24,odlično,143104,14
430345,INV-00430345,2017-03-01,odlično,143110,1
430346,INV-00430346,2018-12-23,odlično,143110,1
430347,INV-00430347,2019-01-05,oštećeno,143110,1
430348,INV-00430348,2018-09-29,odlično,143110,4
430349,INV-00430349,2018-09-07,dobro,143110,4
430350,INV-00430350,2019-01-09,dobro,143110,4
430351,INV-00430351,2018-10-27,odlično,143110,4
430352,INV-00430352,2018-03-29,odlično,143110,4
430353,INV-00430353,2018-04-19,odlično,143110,7
430354,INV-00430354,2017-05-30,odlično,143110,7
430355,INV-00430355,2016-05-02,dobro,143110,10
430356,INV-00430356,2017-10-31,zadovoljavajuće,143110,10
430357,INV-00430357,2018-07-28,odlično,143110,10
430358,INV-00430358,2017-09-16,dobro,143110,13
430359,INV-00430359,2017-12-12,odlično,143113,1
430360,INV-00430360,2017-02-16,dobro,143113,1
430361,INV-00430361,2018-05-12,zadovoljavajuće,143113,1
430362,INV-00430362,2019-03-05,odlično,143113,1
430363,INV-00430363,2018-06-12,dobro,143113,1
430364,INV-00430364,2017-08-22,dobro,143113,4
430365,INV-00430365,2018-04-29,dobro,143113,4
430366,INV-00430366,2019-04-22,dobro,143113,4
430367,INV-00430367,2016-01-23,dobro,143113,7
430368,INV-00430368,2018-08-15,odlično,143113,7
430369,INV-00430369,2018-08-06,odlično,143113,7
430370,INV-00430370,2017-10-19,odlično,143113,10
430371,INV-00430371,2016-12-18,dobro,143131,1
430372,INV-00430372,2017-01-16,dobro,143131,1
430373,INV-00430373,2016-11-01,odlično,143131,1
430374,INV-00430374,2017-02-26,zadovoljavajuće,143131,1
430375,INV-00430375,2019-08-31,dobro,143131,1
430376,INV-00430376,2018-05-25,odlično,143131,1
430377,INV-00430377,2016-09-27,dobro,143131,4
430378,INV-00430378,2018-01-01,dobro,143131,4
430379,INV-00430379,2019-03-28,odlično,143131,4
430380,INV-00430380,2018-11-02,dobro,143131,4
430381,INV-00430381,2018-05-31,zadovoljavajuće,143131,7
430382,INV-00430382,2018-07-20,zadovoljavajuće,143131,7
430383,INV-00430383,2016-09-27,odlično,143134,2
430384,INV-00430384,2016-06-28,odlično,143134,2
430385,INV-00430385,2017-10-15,dobro,143134,2
430386,INV-00430386,2017-05-21,odlično,143134,2
430387,INV-00430387,2019-04-06,odlično,143134,2
430388,INV-00430388,2018-11-28,odlično,143134,2
430389,INV-00430389,2017-01-07,odlično,143134,5
430390,INV-00430390,2017-07-10,odlično,143134,5
430391,INV-00430391,2017-07-01,odlično,143134,5
430392,INV-00430392,2017-06-07,dobro,143134,5
430393,INV-00430393,2018-01-23,dobro,143134,5
430394,INV-00430394,2018-10-26,odlično,143134,5
430395,INV-00430395,2017-08-23,dobro,143134,8
430396,INV-00430396,2018-05-23,odlično,143134,8
430397,INV-00430397,2016-03-18,dobro,143134,11
430398,INV-00430398,2018-05-01,dobro,143134,11
430399,INV-00430399,2017-09-30,zadovoljavajuće,143134,14
430400,INV-00430400,2017-12-08,zadovoljavajuće,143134,14
430401,INV-00430401,2018-09-13,dobro,143134,14
430402,INV-00430402,2018-01-28,odlično,143134,14
430403,INV-00430403,2016-10-07,odlično,143135,1
430404,INV-00430404,2018-01-30,odlično,143135,1
430405,INV-00430405,2018-09-04,odlično,143135,1
430406,INV-00430406,2017-07-15,dobro,143135,4
430407,INV-00430407,2019-04-30,zadovoljavajuće,143135,4
430408,INV-00430408,2018-12-19,odlično,143135,4
430409,INV-00430409,2017-10-09,odlično,143135,7
430410,INV-00430410,2018-07-14,dobro,143135,7
430411,INV-00430411,2018-06-15,zadovoljavajuće,143135,13
430412,INV-00430412,2017-11-23,odlično,143142,1
430413,INV-00430413,2018-03-12,zadovoljavajuće,143142,1
430414,INV-00430414,2018-05-29,dobro,143142,1
430415,INV-00430415,2018-01-08,odlično,143142,1
430416,INV-00430416,2016-10-14,dobro,143142,1
430417,INV-00430417,2018-04-05,dobro,143142,1
430418,INV-00430418,2018-02-01,dobro,143142,1
430419,INV-00430419,2018-02-25,odlično,143142,1
430420,INV-00430420,2018-12-02,odlično,143142,1
430421,INV-00430421,2018-03-30,odlično,143142,1
430422,INV-00430422,2017-07-26,odlično,143142,1
430423,INV-00430423,2019-07-18,odlično,143142,1
430424,INV-00430424,2016-07-25,odlično,143142,4
430425,INV-00430425,2016-10-01,odlično,143142,4
