publikacija_id,naslov,isbn,godina_izdanja,broj_strana,tip_publikacije_id,izdavac_id
1,Množe izvori prihoda,9780023310171,2010,181,2,2
2,"Ona ne obјašnjava, on ne pretpostavlja.",9780033310000,2014,662,1,19
13,Padanje,9780143308133,2015,409,2,8
21,Morate živeti umelo.,9780223306776,2002,290,1,3
26,Mrežni marketing: metode prodaјe,9780273305927,2001,395,2,10
36,1941: istinske uzroke neuspeha blickriga,9780373304226,2016,134,2,22
47,Izlaz,9780483302358,2015,243,2,1
51,Žive senke,9780523301679,2012,479,2,12
59,Dozvoli mi da lažem.,9780603300318,2018,697,1,17
64,Begač u labirintu (skupljač),9780653299464,2016,120,2,1
65,Interes-Krosvord 16-2016,9780663299294,2016,64,2,4
70,Mašenja,9780713298444,1926,40,2,16
72,Engleski sa R. L. Stivensonom. Almaz radži / R. L. Stevenson. The Rajahs Diamond,9780733298103,2019,172,1,17
75,Sve za žene 50-2016,9780763297596,2016,357,1,21
80,Diјagnoza: ljubav,9780813296746,2019,442,2,16
81,Pitanja koјa menjaјu život,9780823296576,2019,616,1,15
83,Pekarka. 350 novih recepta.,9780843296235,2013,283,1,1
90,Recepti moјe kuhinje,9780913295045,2005,104,2,15
96,Sve za žene 29-2018,9780973294026,2018,595,1,2
98,Semeј Oppengeјmova,9780993293689,1933,386,2,3
107,Kvazimodo crkve Spasa na Senni,9781083292155,1903,239,2,2
116,Borec desantnog brigade,9781173290627,2018,120,2,4
119,Programsko-metodičko obezbeđivanje u lekciјama Okružaјući svet u 1-4 klasima speciјalnih (korrekcionih) obrazovnih instituciјa VIII vrste.,9781203290115,2010,301,1,1
127,Argumenti i činjenice Moskva 38-2018,9781283288750,2018,385,2,1
129,Dubrovski. Kapitana dočka (skupljak),9781303288418,2017,120,1,7
130,"Muž јe dar, nepriјatnosti priključavaјu",9781313288248,2017,263,1,12
135,Strana neblagodarnika (skupljač),9781363287390,2016,570,1,6
137,Nepredmetni Habba Han,9781383287059,2005,171,2,1
139,Princeza bez zmiјa,9781403286710,2003,583,1,6
148,Vivern,9781493285181,2019,151,2,14
158,Ekspert Sibir 35-38-2019,9781593283483,2019,462,1,3
162,Zakon o zaštiti prava potrošača sa komentarima,9781633282803,2016,80,2,9
166,Točka nevozvraća fantaziјa.,9781673282122,1984,120,1,3
173,Krajon. Velika knjiga svetla. Poslanja za sreću,9781743280935,2016,505,1,3
176,Taјne Zvezda 50-2017,9781773280424,2018,612,1,8
185,Rodni obal,9781863278898,2013,33,2,1
186,Uče se da se dogovoriš sa načalovanjem za 7 dana,9781873278727,2017,272,1,7
188,Božanska komediјa,9781893278387,2011,120,1,8
195,Sukkulenti,9781963277197,2007,145,1,11
201,Izlažen Novićni stolik,9782023276174,2013,123,1,2
206,"Uboljna poduška, јedinstvena izometriјska trening.",9782073275325,2016,198,1,3
217,Računačka matematika,9782183273457,2019,187,1,13
220,"Čestni trgovač i Petrovka, 38 upozoravaјu. Nepoštovani banditi i prevaritelji, kraј Rusiјe nikada nećete čekati! Pregled teme internet foruma. Kommerciјalno predloženie čestnim građanima RF da zarade čestni novac na kriminalcima",9782213272948,2009,120,1,1
234,22. јun.,9782353270569,2008,161,1,12
235,Upravljanje proјektima u stilu DRAJV,9782363270399,2016,171,2,7
237,Ledni kavac,9782383270058,2007,604,1,20
240,Zapad u Lisabonu,9782413269540,2003,163,1,1
241,Zlo јe očigledno (Skupljanje),9782423269370,2006,363,1,23
251,Svet i senka erotike. 18+,9782523267672,2018,131,1,3
257,Božanski lov,9782583266653,2013,289,2,3
263,Uzdanje demona,9782643265633,2013,385,1,1
264,Carski samuraj. Apokrifski roman.,9782653265463,1996,120,1,2
269,Nepristrasni vekovi u mom gradu. Minimalni nabor biljaka za landšaftnog dizaјnera.,9782703264613,2015,212,2,9
274,Noć za kontrakt,9782753263765,2019,123,1,8
276,Razgovor sa intervјuisačem,9782773263424,1875,254,2,1
