publikacija_id,autor_id
161798,744
161800,319
161800,485
161800,563
161800,712
161800,2153
161800,3950
161800,4539
161800,7358
161800,12030
161800,12031
161800,12032
161800,12033
161800,12034
161802,4392
161810,2252
161814,12035
161816,1946
161828,804
161831,2649
161839,162
161842,6367
161845,3881
161858,6015
161866,553
161869,1563
161871,161
161873,2609
161876,5589
161876,12036
161880,10137
161894,448
161899,1174
161902,766
161904,3100
161905,12037
161907,2813
161910,12038
161923,362
161929,395
161934,10094
161943,12039
161948,2444
161964,10767
161964,10768
161965,4239
161972,2938
161974,2828
161981,3709
161983,284
162000,6088
162017,6529
162030,8307
162032,612
162033,6282
162033,11753
162033,12040
162033,12041
162040,482
162041,3625
162045,2504
162048,12042
162051,12043
162053,12044
162055,1053
162060,3522
162073,4679
162077,5276
162080,189
162084,721
162086,12045
162089,4298
162092,6964
162093,12046
162102,1097
162102,1098
162108,6490
162111,804
162112,11786
162112,12047
162112,12048
162112,12049
162118,2021
162124,1033
162138,12050
162146,157
162152,12051
162155,12052
162162,250
162196,12053
162198,12054
162212,4374
162212,4375
162212,4376
162214,12055
162215,69
162216,140
162227,587
162228,1477
162230,485
162238,4316
162249,2099
162261,12056
162262,578
162263,6176
162268,552
162271,7078
162282,3705
162287,12057
162291,3646
162291,12058
162297,12059
162300,4485
162303,413
162304,12060
162309,2424
162311,12061
162314,446
162323,233
162324,696
162324,3404
162325,578
162334,12062
162341,3020
162348,2677
162355,333
162355,390
162356,1435
162361,12063
162370,2600
162371,2618
162376,5219
162384,9107
162388,254
162391,261
162392,4391
162401,7318
162430,3316
162440,386
162455,663
162457,701
162459,459
162463,10694
162471,12064
162472,7193
162484,135
162489,160
162496,3812
162498,78
162502,4134
162503,12065
162507,5150
162508,12066
162510,5517
162521,12067
162524,795
162533,185
162544,7342
162548,1832
162551,307
162559,1061
162562,12068
162572,11811
162584,837
162584,1695
162590,1291
162591,12069
162593,1706
162596,305
162600,150
162609,12070
162611,2893
162616,1531
162619,9970
162620,1440
162625,634
162630,459
162630,8564
162630,9223
162630,12071
162630,12072
162630,12073
162635,2850
162636,12074
162637,12075
162644,587
162645,556
162651,6930
162651,6931
162652,464
162656,319
162657,2712
162659,3680
162663,7943
